STN---,WBAN,YEARMODA,TEMP,Unnamed: 4,DEWP,Unnamed: 6,SLP,Unnamed: 8,STP,Unnamed: 10,VISIB,Unnamed: 12,WDSP,Unnamed: 14,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
10010,99999,20200519,29.6,24,26.3,24,1018.1,24,1016.8,24,22.8,6,16.8,24,22.7,34.4,30.7,26.6,0.01G,999.9,1000
10010,99999,20200520,31.6,24,28.9,24,1020.6,24,1019.4,24,23.3,6,7.1,24,11.7,18.3,34.2,29.3,0.00G,999.9,100000
10010,99999,20200521,35.4,24,33.2,24,1014.4,24,1013.2,24,11.6,6,11.1,24,18.6,24.5,37.4*,32.5,0.00G,999.9,10000
10010,99999,20200522,33.9,24,32.0,24,1007.5,24,1006.3,24,4.5,6,4.3,24,7.6,15.9,38.1,30.7,0.14G,999.9,100000
10010,99999,20200523,30.7,24,27.4,24,1001.6,24,1000.4,24,12.7,6,19.0,24,29.5,39.8,35.8,28.9,0.00G,999.9,101000
10010,99999,20200524,32.4,24,29.5,24,1004.1,24,1002.9,24,15.9,6,16.6,24,26.6,37.9,34.5,30.6,0.01G,999.9,1000
10010,99999,20200525,34.9,24,33.6,24,1003.3,24,1002.1,24,5.2,6,8.1,24,18.6,24.7,37.8,31.3,0.00G,999.9,110000
10010,99999,20200526,36.3,24,34.9,24,998.0,24,996.8,24,4.6,6,6.3,24,14.2,18.1,39.9,34.7*,0.08G,999.9,110000
10010,99999,20200527,33.7,24,31.5,24,1006.8,24,1005.6,24,7.1,6,11.8,24,32.6,38.5,37.4*,30.4,0.10G,999.9,11000
10010,99999,20200528,36.5,24,34.1,24,1011.4,24,1010.1,24,3.2,6,12.4,24,22.5,28.7,42.6,30.7,0.05G,999.9,110000
10010,99999,20200529,34.5,24,31.8,24,1019.1,24,1017.9,24,14.5,6,7.2,24,16.5,22.1,39.6*,29.7,0.00G,999.9,110000
10010,99999,20200530,36.5,24,36.2,24,1017.7,24,1016.5,24,0.1,6,10.1,24,14.8,19.4,38.3*,34.2*,0.08G,999.9,110000
10010,99999,20200531,36.2,24,35.8,24,1019.1,24,1017.9,24,0.2,6,5.1,24,7.2,10.9,38.3,34.0*,0.01G,999.9,100000
10010,99999,20200601,39.1,24,36.1,24,1013.9,24,1012.7,24,17.0,6,10.3,24,23.1,28.9,44.8,33.1*,0.07G,999.9,110000
10010,99999,20200602,33.1,24,29.7,24,1018.7,24,1017.5,24,6.4,6,17.1,24,29.3,36.7,37.4,30.7,0.03G,999.9,101000
10010,99999,20200603,32.4,24,30.4,24,1021.5,24,1020.3,24,19.7,6,5.1,24,11.7,14.0,36.5,28.9*,0.01G,999.9,100000
10010,99999,20200604,33.0,22,28.8,22,1020.8,22,1019.7,22,16.9,5,13.3,22,21.4,31.1,35.8,28.6,0.00G,999.9,101000
10010,99999,20200605,34.9,24,31.7,24,1019.3,24,1018.1,24,13.7,6,17.2,24,28.6,41.2,40.1,31.8,99.99,999.9,10000
10010,99999,20200606,32.5,24,30.7,24,1013.9,24,1012.7,24,4.9,6,22.6,24,26.4,36.5,36.9,29.8,0.00G,999.9,111000
10010,99999,20200607,29.2,24,25.7,24,1011.8,24,1010.6,24,7.4,6,19.7,24,25.1,32.8,32.9,27.3,0.06G,999.9,1000
10010,99999,20200608,32.2,24,28.2,24,1016.0,24,1014.8,24,28.5,6,7.2,24,17.3,23.7,36.0*,28.0,0.01G,999.9,0
10010,99999,20200609,38.6,24,37.8,24,1016.9,24,1015.7,24,1.4,6,5.9,24,11.1,15.9,39.7,36.0,0.24G,999.9,10000
10010,99999,20200610,38.2,24,37.1,24,1028.4,24,1027.2,24,1.6,6,4.0,24,6.4,10.1,40.1,36.9*,0.20G,999.9,100000
10010,99999,20200611,38.0,24,37.0,24,1025.7,24,1024.5,24,0.3,6,11.5,24,21.2,24.5,39.2,36.7,0.01G,999.9,110000
10010,99999,20200612,39.8,24,37.0,24,1019.6,24,1018.4,24,9.9,6,11.6,24,22.9,28.0,44.8,36.1,0.00G,999.9,0
10010,99999,20200613,38.1,24,35.7,24,1012.3,24,1011.1,24,7.5,6,15.2,24,30.9,38.5,41.4,36.1,0.04G,999.9,110000
10010,99999,20200614,37.2,24,33.3,24,1016.1,24,1014.9,24,13.7,6,11.6,24,31.5,46.6,41.7,32.5,0.00G,999.9,10000
10010,99999,20200615,39.5,24,37.7,24,1019.1,24,1017.9,24,22.8,6,6.5,24,14.4,18.1,41.7,38.1,0.00G,999.9,100000
10010,99999,20200616,38.4,24,37.9,24,1014.4,24,1013.2,24,1.0,6,7.8,24,16.1,19.0,40.1*,36.9*,0.39G,999.9,110000
10010,99999,20200617,37.5,24,33.9,24,1018.2,24,1017.0,24,24.0,6,14.7,24,26.8,37.1,40.6,34.7,0.16G,999.9,100000
10010,99999,20200618,35.2,24,34.0,24,1023.1,24,1021.9,24,1.2,6,4.7,24,9.1,30.7,39.4,32.4*,0.00G,999.9,100000
10010,99999,20200619,38.8,24,37.0,24,1024.2,24,1023.0,24,12.5,6,7.4,24,10.9,14.0,43.0,32.2*,0.00I,999.9,100000
10010,99999,20200620,42.9,24,40.4,24,1020.0,24,1018.8,24,18.1,6,4.9,24,9.7,13.6,45.9,38.8,0.00I,999.9,100000
